Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Ho-153,3.91115,alpha,2.01,m,Non-Medical,3.91115
Se-83m,3.8975,b-spectra,70.1,s,Non-Medical,3.8975
Kr-87,3.887,b-spectra,76.3,m,Non-Medical,3.887
Tm-162,3.8776,gamma,21.7,m,Non-Medical,3.8776
Y-86,3.877,gamma,14.74,h,Medical - Imaging,3.877
Cu-62,3.8617,gamma,9.673,m,Non-Medical,3.8617
Tm-176,3.84802,b-spectra,1.85,m,Non-Medical,3.84802
Sm-139,3.82627,b-spectra,2.57,m,Non-Medical,3.82627
Ta-172,3.8152,gamma,36.8,m,Non-Medical,3.8152
Pm-154m,3.81316,b-spectra,2.68,m,Non-Medical,3.81316
Nb-87,3.8072,b-spectra,3.75,m,Non-Medical,3.8072
Cs-126,3.802,b-spectra,1.64,m,Non-Medical,3.802
P-30,3.7873,IE,2.498,m,Non-Medical,3.7873
Ta-186,3.77771,b-spectra,10.5,m,Non-Medical,3.77771
Cu-59,3.7776,b-spectra,81.5,s,Non-Medical,3.7776
Pm-142,3.776,b-spectra,40.5,s,Non-Medical,3.776
La-132,3.7756,gamma,4.8,h,Non-Medical,3.7756
V-52,3.772,gamma,3.743,m,Non-Medical,3.772
In-110m,3.7717,gamma,69.1,m,Non-Medical,3.7717
La-140,3.7619,b-spectra,1.6781,d,Non-Medical,3.7619
Se-71,3.758,b-spectra,4.74,m,Non-Medical,3.758
Ho-156,3.75381,b-spectra,56,m,Non-Medical,3.75381
Ge-67,3.727,gamma,18.9,m,Non-Medical,3.727
Ho-154m,3.72266,alpha,3.1,m,Non-Medical,3.72266
Pb-210,3.71973,alpha,22.2,y,Non-Medical,3.71973
Pr-136,3.709,gamma,13.1,m,Non-Medical,3.709
Ac-232,3.7,b-spectra,119,s,Non-Medical,3.7
In-105,3.69581,b-spectra,5.07,m,Non-Medical,3.69581
Nd-135,3.68653,b-spectra,12.4,m,Non-Medical,3.68653
In-121m,3.6786,b-spectra,3.88,m,Non-Medical,3.6786
Mn-50m,3.67605,b-spectra,1.75,m,Non-Medical,3.67605
Kr-75,3.67348,b-spectra,4.29,m,Non-Medical,3.67348
In-118m,3.6697,gamma,4.364,m,Non-Medical,3.6697
Au-190,3.652,gamma,42.8,m,Non-Medical,3.652
La-134,3.652,gamma,6.45,m,Non-Medical,3.652
Re-178,3.65195,b-spectra,13.2,m,Non-Medical,3.65195
Zr-85,3.6482,b-spectra,7.86,m,Non-Medical,3.6482
Tb-164,3.64778,b-spectra,3,m,Non-Medical,3.64778
Ta-174,3.6442,gamma,1.14,h,Non-Medical,3.6442
Tc-105,3.64,b-spectra,7.6,m,Non-Medical,3.64
Tb-147m,3.6396,b-spectra,1.87,m,Non-Medical,3.6396
Y-92,3.639,b-spectra,3.54,h,Non-Medical,3.639
Dy-152,3.62886,alpha,2.38,h,Non-Medical,3.62886
Co-56,3.6118,gamma,77.23,d,Non-Medical,3.6118
Sb-113,3.6056,gamma,6.67,m,Non-Medical,3.6056
Rh-97m,3.5743,gamma,46.2,m,Non-Medical,3.5743
Tb-152,3.5725,gamma,17.5,h,Non-Medical,3.5725
Br-73,3.5423,b-spectra,3.4,m,Non-Medical,3.5423
Rh-106,3.541,b-spectra,29.8,s,Non-Medical,3.541
Bi-216,3.5402,b-spectra,2.17,m,Non-Medical,3.5402
K-42,3.52545,b-spectra,12.36,h,Non-Medical,3.52545
Bi-202,3.5207,gamma,1.72,h,Non-Medical,3.5207
Sr-94,3.508,b-spectra,75.3,s,Non-Medical,3.508
Pd-97,3.5026,b-spectra,3.1,m,Non-Medical,3.5026
Pm-152,3.5,b-spectra,4.12,m,Non-Medical,3.5
Rh-97,3.4945,gamma,30.7,m,Non-Medical,3.4945
Cs-128,3.493,gamma,3.64,m,Non-Medical,3.493
Cd-119,3.48593,b-spectra,2.69,m,Non-Medical,3.48593
Pm-139,3.473,b-spectra,4.15,m,Non-Medical,3.473
Hg-207,3.4719,b-spectra,2.9,m,Non-Medical,3.4719
Tb-154,3.4679,gamma,21.5,h,Non-Medical,3.4679
Dy-153,3.4659,alpha,6.4,h,Non-Medical,3.4659
Rh-100,3.4648,gamma,20.8,h,Non-Medical,3.4648
Pm-150,3.454,b-spectra,2.68,h,Non-Medical,3.454
Y-83,3.447,b-spectra,7.08,m,Non-Medical,3.447
Cl-39,3.441,b-spectra,55.6,m,Non-Medical,3.441
Tc-102m,3.4404,b-spectra,4.35,m,Non-Medical,3.4404
Sb-130m,3.43195,b-spectra,6.3,m,Non-Medical,3.43195
Rh-96,3.4315,gamma,9.9,m,Non-Medical,3.4315
Sn-109,3.4273,gamma,18,m,Non-Medical,3.4273
Pr-138,3.415,b-spectra,1.45,m,Non-Medical,3.415
Ag-102,3.4065,gamma,12.9,m,Non-Medical,3.4065
La-143,3.4061,b-spectra,14.2,m,Non-Medical,3.4061
Eu-158,3.40549,b-spectra,45.9,m,Non-Medical,3.40549
Tb-151,3.40431,alpha,17.609,h,Non-Medical,3.40431
